trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-145.8339174498234,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-37.58610549926267,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-136.96875633995825,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",35,0,-174.74574135370491,"{0: 19, 1: 6, 2: 7, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-137.4430399565066,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-94.67750694105742,"{0: 23, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-79.45386579383612,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-63.798321112732545,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-196.0630279264224,"{0: 11, 1: 0, 2: 5, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-71.67014542488548,"{0: 18, 1: 2, 2: 2, 3: 3, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-169.05781470612928,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,3,-21.636862114992546,"{0: 24, 1: 0, 2: 1, 3: 2, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,12,-31.844018207141705,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-66.06648063118746,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,4,-61.0745196753782,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-70.43008064156335,"{0: 15, 1: 1, 2: 1, 3: 2, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-146.94759369156574,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,2,-15.047699161098032,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,7,4.880037741209988,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-19.132638649780688,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",35,1,-20.362190895499793,"{0: 30, 1: 1, 2: 2, 3: 0, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",25,7,17.86831514888038,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,10,13.076018409403943,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,0,29.033835436624432,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,9,23.96366752725506,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",30,12,26.828818835446306,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,0,-59.21048073620693,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0, 'e': 0}",20,6,-20.981822950236374,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",20,0,4.903233363490408,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",25,19,-0.7922591471220315,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
