trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 1.0}",20,0,-111.95319041403772,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
2,False,"{'a': 0.25, 'e': 0.9999984769132877}",20,0,-165.91404399363253,"{0: 8, 1: 3, 2: 6, 3: 1, 4: 2}",0
3,False,"{'a': 0.25, 'e': 0.9999939076577904}",30,8,-93.4117719338537,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 1}",1
4,False,"{'a': 0.25, 'e': 0.9999862922474267}",20,0,-63.03680920986789,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.25, 'e': 0.9999756307053947}",30,0,-179.90378020843502,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
6,False,"{'a': 0.25, 'e': 0.9999619230641713}",20,0,-97.03525859105093,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.25, 'e': 0.9999451693655121}",35,15,-154.66479230589385,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",1
8,False,"{'a': 0.25, 'e': 0.999925369660452}",30,0,-245.3430303621152,"{0: 13, 1: 3, 2: 9, 3: 2, 4: 3}",0
9,False,"{'a': 0.25, 'e': 0.9999025240093042}",30,11,-141.305858127581,"{0: 7, 1: 2, 2: 8, 3: 1, 4: 1}",1
10,False,"{'a': 0.25, 'e': 0.9998766324816606}",20,0,-189.19444116990366,"{0: 8, 1: 1, 2: 7, 3: 2, 4: 2}",0
11,False,"{'a': 0.25, 'e': 0.9998476951563913}",25,0,-134.256837546364,"{0: 10, 1: 7, 2: 5, 3: 3, 4: 0}",0
12,False,"{'a': 0.25, 'e': 0.9998157121216442}",25,0,-196.81577586688442,"{0: 12, 1: 3, 2: 5, 3: 3, 4: 2}",0
13,False,"{'a': 0.25, 'e': 0.9997806834748455}",35,0,-130.32421769290372,"{0: 24, 1: 3, 2: 6, 3: 0, 4: 2}",0
14,False,"{'a': 0.25, 'e': 0.9997426093226983}",20,0,-93.67215002749846,"{0: 9, 1: 1, 2: 10, 3: 0, 4: 0}",0
15,False,"{'a': 0.25, 'e': 0.9997014897811831}",25,0,-161.65880191048515,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
16,False,"{'a': 0.25, 'e': 0.9996573249755573}",20,0,-169.9693453527778,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
17,False,"{'a': 0.25, 'e': 0.9996101150403544}",30,0,-159.40894519350934,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
18,False,"{'a': 0.25, 'e': 0.999559860119384}",25,13,-31.63480936995107,"{0: 7, 1: 2, 2: 3, 3: 0, 4: 0}",1
19,False,"{'a': 0.25, 'e': 0.9995065603657316}",20,0,-60.0774787358333,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
20,False,"{'a': 0.25, 'e': 0.9994502159417572}",25,15,-55.3189160195053,"{0: 5, 1: 3, 2: 1, 3: 0, 4: 1}",1
21,False,"{'a': 0.25, 'e': 0.9993908270190958}",25,0,-185.91356532473313,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
22,False,"{'a': 0.25, 'e': 0.9993283937786562}",20,0,-63.10666331805231,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
23,False,"{'a': 0.25, 'e': 0.9992629164106211}",25,0,-92.03425192351185,"{0: 18, 1: 2, 2: 2, 3: 2, 4: 1}",0
24,False,"{'a': 0.25, 'e': 0.999194395114446}",20,0,-140.83879350718576,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
25,False,"{'a': 0.25, 'e': 0.9991228300988584}",30,0,-242.1186009663392,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 5}",1
26,False,"{'a': 0.25, 'e': 0.9990482215818578}",20,0,-218.25482808788388,"{0: 9, 1: 0, 2: 7, 3: 0, 4: 4}",0
27,False,"{'a': 0.25, 'e': 0.9989705697907147}",30,0,-158.70200835768958,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
28,False,"{'a': 0.25, 'e': 0.99888987496197}",25,0,-81.82036290515975,"{0: 15, 1: 2, 2: 7, 3: 1, 4: 0}",0
29,False,"{'a': 0.25, 'e': 0.9988061373414341}",30,0,-55.281467227199954,"{0: 23, 1: 5, 2: 1, 3: 0, 4: 1}",0
30,False,"{'a': 0.25, 'e': 0.9987193571841863}",20,7,-30.222021110002494,"{0: 7, 1: 4, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.25, 'e': 0.9986295347545738}",25,0,-142.57600084687505,"{0: 12, 1: 2, 2: 7, 3: 4, 4: 0}",0
32,False,"{'a': 0.25, 'e': 0.9985366703262117}",25,0,-172.13883361126764,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
33,False,"{'a': 0.25, 'e': 0.998440764181981}",30,0,-74.92869322757238,"{0: 22, 1: 4, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.25, 'e': 0.9983418166140283}",30,0,-156.39731878396057,"{0: 17, 1: 6, 2: 3, 3: 2, 4: 2}",0
35,False,"{'a': 0.25, 'e': 0.9982398279237653}",20,0,-151.85349226179966,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
36,False,"{'a': 0.25, 'e': 0.9981347984218669}",20,0,-134.9728353493001,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
37,False,"{'a': 0.25, 'e': 0.9980267284282716}",25,0,-182.23501528290183,"{0: 14, 1: 0, 2: 8, 3: 0, 4: 3}",0
38,False,"{'a': 0.25, 'e': 0.997915618272179}",30,0,-107.8097202587564,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
39,False,"{'a': 0.25, 'e': 0.99780146829205}",25,0,-180.0357769271057,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
40,False,"{'a': 0.25, 'e': 0.9976842788356053}",20,0,-87.8706434693429,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
41,False,"{'a': 0.25, 'e': 0.9975640502598242}",25,0,-160.5436799573891,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
42,False,"{'a': 0.25, 'e': 0.997440782930944}",35,0,-197.79285074214914,"{0: 18, 1: 9, 2: 5, 3: 0, 4: 3}",0
43,False,"{'a': 0.25, 'e': 0.9973144772244581}",25,1,-61.53524013139944,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 0}",1
44,False,"{'a': 0.25, 'e': 0.9971851335251157}",20,0,-168.1299817742718,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
45,False,"{'a': 0.25, 'e': 0.9970527522269202}",25,0,-221.40222745616154,"{0: 11, 1: 4, 2: 5, 3: 2, 4: 3}",0
46,False,"{'a': 0.25, 'e': 0.996917333733128}",35,0,-201.61324691966632,"{0: 21, 1: 3, 2: 7, 3: 1, 4: 3}",0
47,False,"{'a': 0.25, 'e': 0.9967788784562471}",30,0,-210.5131449591578,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
48,False,"{'a': 0.25, 'e': 0.9966373868180366}",20,0,-117.11097485506278,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
49,False,"{'a': 0.25, 'e': 0.9964928592495044}",20,0,-155.25238823774282,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
50,False,"{'a': 0.25, 'e': 0.9963452961909064}",25,0,-162.9712391434889,"{0: 10, 1: 3, 2: 10, 3: 1, 4: 1}",0
51,False,"{'a': 0.25, 'e': 0.9961946980917455}",20,15,1.2363476083534957,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.25, 'e': 0.9960410654107695}",20,0,-179.107942095736,"{0: 10, 1: 2, 2: 2, 3: 4, 4: 2}",0
53,False,"{'a': 0.25, 'e': 0.9958843986159703}",25,0,-79.71957982849793,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
54,False,"{'a': 0.25, 'e': 0.9957246981845821}",20,5,-40.117338195672026,"{0: 9, 1: 1, 2: 5, 3: 0, 4: 0}",1
55,False,"{'a': 0.25, 'e': 0.99556196460308}",20,0,-96.59877498389427,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
56,False,"{'a': 0.25, 'e': 0.9953961983671789}",30,0,-202.06514121035622,"{0: 14, 1: 2, 2: 11, 3: 1, 4: 2}",0
57,False,"{'a': 0.25, 'e': 0.9952273999818312}",20,0,-225.96516641498667,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
58,False,"{'a': 0.25, 'e': 0.9950555699612263}",20,0,-77.58614279828683,"{0: 12, 1: 5, 2: 1, 3: 1, 4: 1}",0
59,False,"{'a': 0.25, 'e': 0.9948807088287882}",20,0,-40.56670480645379,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
60,False,"{'a': 0.25, 'e': 0.9947028171171742}",20,0,-131.76252191668013,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",0
61,False,"{'a': 0.25, 'e': 0.9945218953682733}",25,0,-106.59779101617862,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
62,False,"{'a': 0.25, 'e': 0.9943379441332046}",20,0,-117.77546751513378,"{0: 7, 1: 4, 2: 7, 3: 2, 4: 0}",0
63,False,"{'a': 0.25, 'e': 0.9941509639723154}",30,0,-161.3151483045506,"{0: 16, 1: 6, 2: 5, 3: 1, 4: 2}",0
64,False,"{'a': 0.25, 'e': 0.9939609554551797}",25,0,-155.4616938301459,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
65,False,"{'a': 0.25, 'e': 0.9937679191605964}",20,0,-125.67179142402277,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
66,False,"{'a': 0.25, 'e': 0.9935718556765875}",30,0,-151.85155932028601,"{0: 21, 1: 1, 2: 5, 3: 0, 4: 3}",0
67,False,"{'a': 0.25, 'e': 0.9933727656003964}",20,0,-139.05902233537086,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
68,False,"{'a': 0.25, 'e': 0.9931706495384861}",25,0,-160.1392399717454,"{0: 16, 1: 0, 2: 6, 3: 0, 4: 3}",0
69,False,"{'a': 0.25, 'e': 0.9929655081065369}",25,0,-159.08749910820788,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
